city,votes,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
חורשים,184,69,1,1,0,0,0,12,0,0,0,0,4,2,14,52,1,0,0,0,26,0,0,1,1,0,0
חזון,214,7,22,0,0,0,0,24,0,0,0,0,8,5,114,1,0,0,0,0,5,0,0,0,8,0,20
חיבת ציון,344,133,2,0,0,0,0,50,0,0,0,0,26,1,47,27,3,0,0,0,42,0,0,5,4,0,4
חיננית,502,12,0,0,0,0,0,219,0,0,0,0,20,129,82,1,0,0,0,0,8,0,0,2,25,0,4
חיפה,149560,37805,4894,12363,24,10,15,8032,14,8,0,13,12697,12010,31025,6783,55,12,16,103,16826,40,87,1596,1648,142,3342
חירות,714,442,0,1,0,0,0,15,0,0,0,0,30,6,36,75,0,0,0,0,101,0,0,4,1,0,3
חלוץ,231,122,0,0,0,0,0,2,0,0,0,0,4,3,18,51,0,0,0,0,30,0,0,0,1,0,0
חלמיש,629,0,6,0,0,0,0,387,0,0,0,0,3,4,140,1,2,0,0,0,4,0,0,2,72,0,8
חלץ,248,24,2,0,0,0,0,17,0,0,0,0,60,0,105,0,0,0,0,0,4,0,0,3,11,0,22
חמאם,501,50,1,364,0,0,0,3,0,0,0,34,8,2,2,12,0,0,0,11,5,0,0,0,0,0,9
חמד,453,16,23,0,0,0,0,249,0,0,0,0,17,1,67,3,3,0,0,0,27,0,0,3,23,0,21
חמדיה,226,119,0,0,0,0,0,10,0,0,0,0,9,4,38,10,0,0,0,0,28,0,0,6,0,0,2
חמרה,93,24,1,0,0,0,0,10,0,0,0,0,10,0,33,3,0,0,0,0,7,0,0,1,4,0,0
חניאל,482,246,0,1,0,0,0,13,0,0,0,0,43,7,48,36,0,0,0,0,81,0,3,2,2,0,0
חניתה,456,264,0,0,0,0,0,11,0,0,0,0,23,4,22,77,0,0,0,0,44,0,0,10,0,0,1
חנתון,332,139,0,1,0,0,0,26,0,0,0,0,16,5,45,33,0,0,0,0,59,0,0,6,1,0,1
חספין,576,3,2,0,0,0,0,425,0,0,0,0,3,2,65,1,0,0,0,0,3,0,0,0,65,0,7
חפץ חיים,281,1,12,0,0,0,0,156,0,0,0,0,4,0,66,1,1,0,0,0,5,0,0,1,30,0,4
חפצי-בה,303,188,0,1,0,0,0,3,0,0,0,0,15,0,25,28,2,0,0,0,32,0,2,5,0,1,1
חצב,617,132,1,1,0,0,0,42,0,0,0,0,141,9,201,6,1,0,0,0,43,0,0,9,21,0,10
חצבה,362,226,0,0,0,0,0,24,0,0,0,0,22,2,28,22,1,0,0,0,25,1,0,8,1,1,1
חצור הגלילית,4873,295,699,4,0,0,0,303,1,0,0,1,327,264,2156,10,1,0,0,1,105,1,5,49,167,3,481
חצור-אשדוד,446,209,0,1,0,0,0,1,0,0,0,0,14,1,9,175,0,0,0,0,32,0,0,4,0,0,0
חצרים,586,408,0,0,0,0,0,4,0,0,0,0,14,6,20,87,0,0,0,0,42,0,0,4,0,0,1
חרב לאת,415,188,1,0,0,0,0,26,0,0,0,0,34,0,58,32,0,0,0,0,67,0,0,5,4,0,0
חרוצים,447,143,1,0,0,0,0,31,1,0,0,0,51,9,111,33,1,0,1,0,47,0,0,3,4,1,10
חריש,413,44,8,11,0,0,0,59,0,0,0,0,25,29,102,6,1,0,0,3,16,0,9,5,61,0,34
חרמש,121,14,0,0,0,0,0,13,0,0,0,0,15,29,28,1,0,0,0,0,13,0,0,4,3,0,1
חרשים,143,66,3,4,0,0,0,1,0,0,0,0,3,0,1,60,0,0,0,0,3,0,0,2,0,0,0
חשמונאים,1736,18,46,2,0,0,0,865,0,0,0,0,46,5,480,8,0,0,0,0,13,0,0,13,164,1,75
טבריה,20219,1520,719,26,2,1,4,983,1,0,0,1,1772,1240,9005,99,3,2,0,2,931,1,15,170,682,3,3037
טובא-זנגריה,1780,151,18,1368,1,0,1,1,0,1,0,4,17,2,62,79,0,0,1,42,3,0,5,0,3,2,19
טורעאן,5273,109,0,4916,0,1,0,6,1,1,0,3,18,26,31,109,0,0,2,13,4,0,1,3,4,1,24
טייבה (בעמק),619,41,0,515,0,0,4,0,0,0,0,0,1,0,5,24,0,0,1,24,0,0,1,0,0,0,3
טייבה,17965,165,1,17178,1,2,1,14,3,2,0,22,10,10,48,304,2,1,3,103,18,2,3,14,6,0,52
טירה,11611,121,3,11028,0,2,2,7,0,1,0,1,14,2,19,332,0,0,2,42,16,0,4,6,1,4,4
טירת יהודה,608,17,9,0,0,0,0,200,0,0,0,0,87,1,214,7,1,0,0,0,17,0,1,1,34,0,19
טירת כרמל,10577,948,86,12,1,1,1,625,1,1,0,0,1546,530,4826,67,1,5,1,0,473,1,14,98,184,4,1151
טירת צבי,415,30,2,0,0,0,0,233,0,0,0,0,15,2,82,5,0,0,0,0,34,0,0,4,8,0,0
טל שחר,568,282,0,1,0,0,0,16,0,0,0,0,39,5,77,57,0,0,0,0,78,0,0,6,5,1,1
טל-אל,608,216,0,1,0,0,0,31,0,0,0,0,52,23,118,28,0,0,0,0,127,0,1,3,2,1,5
טללים,141,58,0,0,0,0,0,9,0,0,0,0,6,2,28,14,0,0,0,0,19,0,0,5,0,0,0
טלמון,1357,1,13,0,0,0,0,869,0,0,0,0,1,0,106,0,1,0,0,0,2,0,0,2,353,0,9
טמרה (יזרעאל),717,11,0,619,0,0,0,0,0,0,0,0,0,1,1,55,0,0,0,0,0,0,0,0,0,0,30
טמרה,15911,161,4,14962,0,0,10,1,0,0,0,259,9,3,59,202,1,0,5,48,91,1,5,1,6,2,81
טנא,362,41,1,1,0,0,0,116,0,0,0,0,27,15,79,2,0,0,0,0,38,0,0,2,38,0,2
טפחות,188,1,5,0,0,0,0,63,0,0,0,0,10,2,87,0,0,0,0,0,2,0,0,0,10,0,8
יאנוח-ג'ת,2142,254,0,119,0,0,0,5,1,0,0,0,530,599,257,5,0,0,0,2,56,0,2,5,58,1,248
יבול,179,69,1,0,0,0,0,29,0,0,0,0,10,2,15,13,1,0,1,0,17,0,0,1,19,0,1
יבנאל,1771,197,36,3,0,0,0,103,0,0,0,0,116,13,373,30,1,0,0,0,103,0,1,23,98,3,671
יבנה,21895,3897,171,7,2,2,2,1394,3,1,0,0,2415,674,7563,386,11,2,7,0,2454,1,12,257,1150,11,1473
יגור,890,637,0,1,0,0,0,27,0,0,0,0,33,5,28,68,0,0,0,0,71,0,0,14,1,4,1
יגל,457,56,11,0,4,0,1,16,0,1,0,0,48,0,243,7,0,0,0,0,18,0,0,0,17,0,35
יד בנימין,1478,4,53,0,0,0,0,614,0,0,0,0,12,2,158,0,1,0,1,0,10,0,0,7,585,0,31
יד חנה,391,144,1,3,0,0,0,8,0,0,0,0,26,10,76,53,0,0,0,0,63,0,1,4,0,0,2
יד מרדכי,477,198,1,0,0,0,0,10,0,0,0,0,17,5,16,169,0,0,0,0,56,0,0,5,0,0,0
יד נתן,294,118,1,0,0,0,0,12,0,0,0,0,32,6,41,14,0,0,0,0,54,0,0,13,0,0,3
"יד רמב""ם",608,49,3,0,0,0,0,48,0,0,0,0,101,4,268,5,0,0,0,0,45,0,1,5,10,0,69
יהוד-מונוסון,16614,4478,137,14,0,2,6,925,1,1,0,1,1824,368,4931,599,4,2,3,1,2325,2,16,222,254,14,484
יהל,102,56,0,0,0,0,0,3,0,0,0,0,7,3,7,5,1,0,0,0,16,0,1,1,0,2,0
יובל,354,116,3,0,0,0,0,22,0,0,0,0,49,3,85,13,2,0,0,0,27,0,2,12,3,0,17
יובלים,777,447,2,5,0,0,0,22,0,0,0,0,24,5,30,122,0,0,0,0,114,0,0,5,1,0,0
יודפת,373,224,0,5,0,0,0,10,0,0,0,0,5,1,14,84,0,0,0,0,18,0,0,5,5,0,2
יונתן,233,8,2,0,0,0,0,143,0,0,0,0,10,0,47,0,0,0,0,0,11,0,0,3,9,0,0
יושיביה,239,3,4,0,0,0,0,20,0,0,0,0,9,1,91,0,0,0,0,0,0,0,0,1,69,0,41
יזרעאל,351,235,0,1,0,0,0,9,0,0,0,0,9,7,11,44,0,0,0,0,30,0,0,4,1,0,0
יחיעם,325,176,0,1,0,0,0,8,0,0,0,0,11,5,18,73,0,0,0,0,29,0,0,2,1,1,0
יטבתה,404,273,1,0,0,0,0,10,0,0,0,0,10,2,12,58,1,0,0,0,27,0,0,9,0,1,0
"ייט""ב",137,0,2,0,0,0,0,49,0,0,0,0,4,52,11,0,0,0,0,0,0,0,0,4,15,0,0
יכיני,350,20,1,0,0,0,0,20,0,0,0,0,35,1,221,4,0,0,0,0,3,0,0,0,21,0,24
ינוב,460,107,1,2,0,0,0,30,0,0,0,0,54,2,142,18,0,0,0,0,58,0,0,11,31,0,4
ינון,633,71,2,54,1,0,0,47,1,0,0,0,75,11,270,3,0,0,1,1,29,0,0,11,31,0,25
יסוד המעלה,855,356,2,0,0,0,0,73,0,0,0,0,57,11,157,39,1,0,0,0,122,0,0,15,17,2,3
יסודות,271,0,249,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,4
יסעור,311,147,0,1,0,0,0,12,0,0,0,0,12,1,18,71,0,0,0,0,46,0,0,3,0,0,0
יעד,414,239,0,4,0,0,0,12,0,0,0,0,15,2,5,88,0,0,0,0,47,0,0,2,0,0,0
יעף,124,43,0,1,0,0,0,2,0,0,0,0,13,0,24,15,0,0,0,0,23,0,0,1,2,0,0
יערה,378,38,3,11,0,0,0,15,0,0,0,0,27,12,121,13,0,0,0,0,20,0,0,3,5,0,110
יפיע,7412,277,6,6600,1,1,2,3,1,0,0,11,27,17,202,151,1,2,4,45,12,6,9,3,8,2,21
יפית,82,13,0,1,0,0,0,17,0,0,0,0,10,0,26,1,0,0,0,0,6,0,0,3,2,0,3
יפעת,552,358,0,0,0,0,0,6,0,0,0,0,22,5,34,55,0,0,0,1,60,0,0,7,2,0,2
יפתח,351,250,0,0,0,0,0,6,0,0,0,0,8,9,17,29,0,0,0,1,23,0,0,8,0,0,0
יצהר,448,0,6,1,0,0,0,90,0,0,0,0,1,0,8,0,0,0,2,0,1,0,0,4,332,0,3
יציץ,392,36,1,0,0,0,0,24,0,0,0,0,70,1,196,11,0,0,1,0,18,0,0,5,12,0,17
יקום,407,223,0,0,0,0,0,5,0,0,0,0,7,1,8,124,0,0,0,0,31,0,0,8,0,0,0
יקיר,824,5,5,0,0,0,0,532,0,0,0,0,11,1,194,2,0,0,0,0,5,0,0,5,62,0,2
יקנעם (מושבה),757,419,1,1,0,0,0,34,0,0,0,0,40,2,38,79,1,0,0,0,125,0,0,9,4,0,4
יקנעם עילית,11034,1921,88,5,1,1,2,706,3,1,0,0,1390,1209,3444,188,6,2,2,1,1403,3,7,109,130,12,400
יראון,221,149,0,0,0,0,0,3,0,0,0,0,9,7,9,21,0,0,1,0,17,0,0,5,0,0,0
ירדנה,195,30,1,0,0,0,0,21,0,0,0,0,31,2,88,3,0,0,0,0,4,0,0,3,0,0,12
ירוחם,4121,333,308,31,0,0,2,465,2,0,0,0,328,316,1345,49,5,0,1,4,132,1,1,73,101,4,620
ירושלים,255286,24696,53948,3148,10,26,17,21266,19,4,0,7,11949,6032,61874,10166,253,16,54,215,10752,37,148,1619,18330,121,30579
ירחיב,503,75,4,0,0,0,1,33,0,0,0,0,80,4,226,11,0,0,0,0,35,0,0,11,5,0,18
ירכא,6025,685,0,2226,0,0,0,10,0,0,0,2,316,658,261,56,1,1,2,16,123,2,9,53,797,2,805
ירקונה,234,132,0,1,0,0,0,5,0,0,0,0,5,2,27,36,0,0,0,0,22,0,0,1,2,0,1
ישע,188,70,1,0,0,0,0,21,0,0,0,0,9,2,44,8,0,0,0,0,29,0,0,3,0,0,1
ישעי,399,14,12,0,0,0,0,48,0,0,0,0,7,0,190,0,0,0,0,0,7,0,0,2,35,0,84
ישרש,508,77,4,0,0,0,0,31,0,0,0,0,98,7,193,9,0,0,0,0,48,0,0,8,4,0,29
יתד,178,38,0,0,0,0,0,22,0,0,0,0,19,2,57,4,0,0,0,0,7,0,0,9,20,0,0
כאבול,5736,20,0,5625,0,1,1,0,0,0,0,4,3,0,12,34,0,0,0,9,0,0,0,5,9,0,13
כאוכב אבו אל-היג',1758,2,0,1713,0,0,0,2,0,0,0,0,4,0,2,29,0,0,0,4,0,0,1,0,0,0,1
כברי,609,400,2,3,0,0,0,17,0,0,0,0,29,3,24,69,0,0,0,0,56,0,0,5,0,0,1
כדיתה,65,10,7,0,0,0,0,7,0,0,0,0,5,1,5,11,1,0,0,0,0,0,0,9,8,0,1
כוכב השחר,871,0,1,0,0,0,0,494,0,0,0,0,5,1,74,1,0,0,0,0,0,0,0,7,285,0,3
כוכב יאיר,6075,2405,13,4,0,0,0,587,0,0,0,0,332,121,1049,412,2,0,0,0,1023,1,1,68,30,2,25
כוכב יעקב,2684,5,276,0,0,0,1,419,0,0,0,0,11,4,248,2,1,0,2,0,2,0,2,9,854,0,848
כוכב מיכאל,493,242,1,0,0,0,0,19,0,1,0,0,29,7,44,18,0,0,0,0,120,0,0,10,0,1,1
כורזים,233,110,2,0,0,0,0,8,0,0,0,0,22,3,21,26,0,0,0,0,32,0,0,6,3,0,0
כחל,221,108,0,1,0,0,0,11,0,0,0,0,14,1,19,21,0,0,0,0,40,0,0,5,0,0,1
כיסופים,154,104,0,1,0,0,0,3,0,0,0,0,6,1,9,7,0,0,0,0,13,0,0,7,3,0,0
כישור,84,44,1,1,0,0,0,2,0,0,0,0,3,1,7,13,1,0,1,0,7,0,0,0,0,1,2
כליל,280,119,0,9,0,0,0,4,0,0,0,0,7,1,7,115,0,0,0,0,12,0,0,2,3,1,0
כלנית,131,0,8,0,0,0,0,11,0,0,0,0,6,0,85,0,0,0,1,0,1,0,0,1,15,0,3
כמאנה,546,22,0,473,0,0,0,2,0,0,0,0,1,0,5,2,0,0,0,8,1,0,0,1,1,0,30
כמהין,134,41,0,0,0,0,0,17,0,0,0,0,15,5,13,21,0,0,0,0,9,0,0,8,5,0,0
כמון,386,214,1,3,0,0,0,19,0,0,0,0,14,1,20,61,1,0,1,1,44,0,0,4,0,0,2
כנף,191,52,0,0,0,0,1,32,0,0,0,0,11,2,17,8,0,0,0,0,60,0,0,8,0,0,0
כנרת (מושבה),354,129,1,0,0,0,3,16,0,0,0,0,34,2,84,15,0,0,0,0,56,0,0,10,3,1,0
כנרת (קבוצה),438,277,2,1,0,0,0,16,0,0,0,0,25,6,44,18,0,0,0,0,36,0,0,13,0,0,0
כסיפה,3193,146,1,2588,0,0,0,6,2,0,0,28,160,1,56,39,4,0,1,51,50,3,5,4,12,2,34
כסלון,215,18,3,0,0,0,0,10,0,0,0,0,11,0,99,10,0,0,0,0,4,0,0,1,9,0,50
כסרא-סמיע,3202,632,1,168,0,1,0,44,0,0,0,1,209,1322,361,63,0,0,0,1,143,1,1,4,172,1,77
כעביה-טבאש-חג'אג',1429,263,0,934,1,0,0,1,1,1,0,39,24,4,23,25,0,0,1,26,23,0,2,1,1,1,58
כפר אביב,416,182,8,0,0,0,0,18,0,0,0,0,29,4,73,22,0,0,0,1,69,0,0,6,2,1,1
כפר אדומים,1681,118,7,0,0,0,0,601,0,0,0,0,100,24,619,11,8,0,0,0,111,0,1,17,60,0,4
כפר אוריה,402,148,0,2,0,0,0,18,0,0,0,0,37,0,94,53,1,0,0,0,37,0,0,3,2,0,7
כפר אחים,384,99,2,0,0,0,0,23,0,0,0,0,43,6,119,9,0,0,0,0,65,0,0,4,9,1,4
כפר ביאליק,317,148,1,0,0,0,0,22,0,0,0,0,22,5,50,17,0,0,0,0,50,0,0,2,0,0,0
"כפר ביל""ו",680,392,2,0,0,0,0,23,0,0,0,0,30,2,65,50,0,0,0,0,94,0,0,16,3,0,3
כפר בלום,451,244,0,0,0,0,0,16,0,0,0,0,37,12,46,45,1,0,0,0,43,0,0,5,0,0,2
כפר בן נון,381,126,0,0,0,0,0,7,0,0,0,0,35,3,69,62,0,0,0,0,69,0,1,5,2,0,2
כפר ברא,1448,9,0,1328,0,0,0,0,0,1,0,5,0,1,5,88,0,0,0,9,0,0,0,1,0,0,1
כפר ברוך,256,104,0,0,0,0,0,10,0,0,0,0,23,6,57,7,0,0,0,0,36,0,0,8,4,0,1
כפר גדעון,130,4,41,0,0,0,0,13,0,0,0,0,7,2,11,1,2,0,0,0,9,0,0,0,22,0,18
כפר גלים,59,11,0,0,0,0,0,2,0,0,0,0,7,2,25,5,0,0,0,0,7,0,0,0,0,0,0
כפר גליקסון,192,121,0,0,0,0,0,2,0,0,0,0,12,1,9,27,0,0,0,0,16,0,0,3,0,1,0
כפר גלעדי,362,249,2,0,0,0,0,8,0,0,0,0,32,5,13,31,0,0,0,0,14,0,0,5,1,0,2
כפר דניאל,364,190,0,0,0,0,0,7,0,0,0,0,49,2,28,30,0,0,0,0,49,0,0,5,3,0,1
כפר האורנים,1099,440,5,0,0,0,0,66,0,0,0,0,96,5,128,71,0,1,0,0,261,0,0,10,14,0,2
כפר החורש,331,203,0,0,0,0,0,7,0,0,0,0,14,14,23,35,0,0,0,0,30,0,0,5,0,0,0
כפר המכבי,200,137,0,0,0,0,0,4,0,0,0,0,11,1,9,10,0,0,0,0,27,0,0,1,0,0,0
כפר הנגיד,590,246,2,0,0,0,0,30,0,0,0,0,48,10,96,27,0,0,0,0,104,1,1,22,2,1,0
כפר הנשיא,404,233,0,1,0,0,0,12,0,0,0,0,28,3,18,56,0,0,0,1,33,0,0,19,0,0,0
כפר הס,752,455,2,2,0,0,0,12,0,0,0,0,21,2,48,89,1,0,0,0,108,0,0,11,0,0,1
"כפר הרא""ה",599,24,3,0,0,0,0,328,0,0,0,0,21,1,135,8,0,0,0,0,26,0,0,2,42,0,9
"כפר הרי""ף",450,196,1,1,0,0,0,29,0,1,0,1,26,10,66,22,0,0,0,0,92,0,0,2,0,1,2
כפר ויתקין,1082,678,0,2,0,0,0,21,0,0,0,0,42,3,36,138,0,0,0,0,147,0,0,11,2,0,2
כפר ורבורג,597,288,0,0,0,0,0,30,0,0,0,0,46,10,69,42,0,0,0,0,92,0,0,11,4,0,5
כפר ורדים,3275,1572,4,13,0,0,1,138,1,0,0,0,223,38,373,413,2,0,1,0,433,0,1,34,16,0,12
כפר זיתים,319,27,5,0,0,0,0,35,0,0,0,0,26,1,187,0,0,0,0,0,16,0,1,0,7,0,14
"כפר חב""ד",2611,4,204,0,0,0,0,93,1,0,0,1,10,12,271,4,0,0,2,0,1,0,0,24,1954,0,30
כפר חושן,393,38,11,1,0,0,0,23,0,0,0,0,64,4,161,4,0,0,0,0,9,0,0,5,15,0,58
כפר חיטים,355,108,1,0,0,0,0,12,0,0,0,0,50,4,109,12,0,0,0,0,51,0,0,6,0,0,2
כפר חיים,326,197,0,2,0,0,0,12,0,0,0,0,9,4,23,28,0,0,0,0,47,0,0,3,1,0,0
כפר חנניה,332,72,5,0,0,0,0,39,0,0,0,0,27,4,110,14,0,0,0,0,40,0,0,6,10,0,5
כפר חסידים א',392,92,16,0,0,0,0,96,0,0,0,0,17,7,65,15,0,0,0,0,62,0,0,2,7,0,13
כפר חסידים ב',200,19,2,0,0,0,0,101,0,0,0,0,12,0,41,0,0,0,0,0,15,0,0,1,4,0,5
כפר חרוב,215,109,0,1,0,0,0,8,0,0,0,0,19,2,17,18,0,0,0,0,39,0,0,1,0,1,0
כפר טרומן,443,137,4,1,0,0,3,12,0,0,0,0,62,6,104,23,0,0,0,0,77,0,0,6,6,1,1
כפר יאסיף,5085,147,7,4517,0,0,0,15,0,0,0,1,32,71,79,165,0,0,2,7,14,1,0,10,1,1,15
כפר ידידיה,398,244,0,1,0,0,0,8,0,0,0,0,19,2,24,31,0,0,0,0,62,0,0,7,0,0,0
כפר יהושע,585,373,0,0,0,0,0,18,0,0,0,0,16,8,30,59,1,0,0,0,66,0,0,12,1,0,1
כפר יונה,10483,2568,62,5,0,0,0,607,0,0,0,0,1373,272,2931,284,3,2,1,1,1563,2,2,167,246,6,388
כפר יחזקאל,550,326,0,3,0,0,0,20,0,0,0,0,39,3,48,20,0,0,0,0,69,0,0,18,2,1,1
כפר יעבץ,374,8,11,1,0,0,0,87,0,0,0,0,43,3,162,4,0,0,0,0,4,0,0,10,13,0,28
כפר כמא,1083,578,1,144,0,1,0,5,0,0,0,0,113,1,57,98,1,0,0,16,51,1,1,10,0,0,5
כפר כנא,8757,332,0,8097,0,0,0,3,0,0,0,2,39,64,27,64,1,0,4,31,4,0,5,1,4,4,75
כפר מונש,488,276,0,1,0,0,0,8,0,0,0,0,27,2,30,56,0,0,1,0,81,0,1,3,0,2,0
כפר מימון,303,10,1,0,0,0,0,173,0,0,0,0,9,1,82,1,1,0,0,0,6,0,0,1,18,0,0
"כפר מל""ל",236,116,0,3,0,0,0,9,0,0,0,0,10,1,33,24,0,0,0,0,33,0,0,7,0,0,0
כפר מנדא,7937,572,0,6505,0,0,0,7,0,0,0,3,19,2,60,107,1,0,2,29,3,0,3,3,10,1,610
כפר מנחם,617,300,0,4,0,0,0,11,0,0,0,0,29,3,20,140,0,0,0,0,99,0,0,10,0,0,1
כפר מסריק,386,217,0,0,0,0,0,5,0,0,0,0,3,9,13,104,0,0,0,1,30,0,0,3,0,0,1
כפר מצר,916,72,0,774,0,0,0,0,0,0,0,0,5,1,31,10,0,0,1,18,1,0,1,0,0,0,2
כפר מרדכי,342,192,2,0,0,0,0,4,0,0,0,0,14,2,23,26,0,0,0,0,73,0,0,5,0,0,1
כפר נטר,561,293,0,2,0,0,0,11,0,0,0,0,34,5,60,55,0,0,0,0,94,0,0,5,1,0,1
כפר סאלד,333,228,0,1,0,0,0,8,0,0,0,0,11,1,9,40,0,0,0,0,23,0,0,12,0,0,0
כפר סבא,56477,19732,355,110,1,1,15,3148,4,4,0,2,4452,1912,12364,3380,33,6,2,1,8086,8,33,648,771,35,1374
כפר סילבר,51,11,0,0,0,0,0,8,0,0,0,0,2,2,14,5,0,0,0,0,5,0,0,1,1,0,2
כפר סירקין,671,335,1,2,0,0,0,17,0,0,0,0,40,2,83,46,0,0,0,0,125,0,0,9,5,0,6
כפר עזה,509,326,0,1,0,0,0,19,0,0,0,0,19,4,19,60,0,0,0,1,45,0,1,9,3,0,2
כפר עציון,337,12,0,0,0,0,0,211,0,0,0,0,16,1,69,4,0,0,0,0,9,0,0,3,11,0,1
כפר פינס,297,6,2,0,0,0,0,176,0,0,0,0,13,0,54,2,3,0,1,0,8,0,0,1,29,0,2
כפר קאסם,8012,101,2,6410,2,0,1,7,0,0,0,14,14,3,34,1363,1,0,2,35,1,0,4,5,4,1,8
כפר קיש,276,149,0,0,0,0,0,13,0,0,0,0,16,2,34,18,0,1,0,0,38,0,0,3,0,0,2
כפר קרע,8320,93,1,7843,0,0,1,2,0,1,0,41,125,2,26,135,0,0,2,35,1,2,0,2,0,1,7
כפר ראש הנקרה,666,360,0,0,0,0,2,27,0,0,0,0,46,6,81,35,0,0,0,0,87,0,0,10,1,2,9
כפר רוזנואלד (זרע,148,19,1,0,0,0,0,9,0,0,0,0,19,1,69,0,0,0,0,0,7,0,0,3,3,0,17
כפר רופין,268,168,0,1,0,0,0,11,0,0,0,0,10,3,15,22,0,0,0,0,31,0,0,6,1,0,0
כפר רות,156,47,2,0,0,0,0,21,0,0,0,0,29,0,17,13,0,1,0,0,23,0,0,3,0,0,0
כפר שמאי,224,14,11,0,0,0,0,33,0,1,0,0,28,2,97,1,0,0,0,0,5,0,1,1,11,0,19
כפר שמואל,432,193,1,2,0,0,0,16,0,0,0,0,33,6,56,41,1,0,0,0,73,0,1,4,0,0,5
כפר שמריהו,1198,636,6,4,0,0,0,29,0,0,0,0,40,9,157,102,0,0,0,0,194,0,0,11,8,0,2
כפר תבור,2094,852,5,6,0,0,0,144,0,0,0,0,163,28,413,96,0,0,0,2,324,0,0,22,20,3,16
כפר תפוח,371,1,2,0,0,0,0,146,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,114,0,11
כרכום,335,134,2,0,0,0,0,28,0,0,0,0,30,2,56,17,0,0,0,0,57,0,0,5,0,0,4
כרם בן זמרה,288,33,5,0,0,0,0,39,0,0,0,0,28,6,127,0,1,0,0,0,15,0,0,9,3,0,22
כרם יבנה (ישיבה),147,0,12,0,0,0,0,76,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,55,0,0
